entry_year,subject_code,major_category
2020,APHY1002,BASIC_MAJOR
2020,AMTH1009,BASIC_MAJOR
2020,AMTH1004,BASIC_MAJOR
2020,EE211,BASIC_MAJOR
2020,AMTH1001,BASIC_MAJOR
2020,CSE201,BASIC_MAJOR
2020,SWCON103,MAJOR_REQUIRED
2020,SWCON104,MAJOR_REQUIRED
2020,CSE103,MAJOR_REQUIRED
2020,EE209,MAJOR_REQUIRED
2020,CSE203,MAJOR_REQUIRED
2020,CSE204,MAJOR_REQUIRED
2020,CSE301,MAJOR_REQUIRED
2020,CSE302,MAJOR_REQUIRED
2020,CSE327,MAJOR_REQUIRED
2020,CSE304,MAJOR_REQUIRED
2020,CSE305,MAJOR_REQUIRED
2020,CSE223,MAJOR_REQUIRED
2020,CSE208,MAJOR_REQUIRED
2020,CSE308,MAJOR_REQUIRED
2020,CSE309,MAJOR_REQUIRED
2020,CSE406,MAJOR_REQUIRED
2020,CSE405,MAJOR_REQUIRED
2020,CSE403,MAJOR_REQUIRED
2020,EE210,MAJOR_ELECTIVE
2020,CSE321,MAJOR_ELECTIVE
2020,CSE322,MAJOR_ELECTIVE
2020,CSE323,MAJOR_ELECTIVE
2020,CSE324,MAJOR_ELECTIVE
2020,CSE303,MAJOR_ELECTIVE
2020,CSE328,MAJOR_ELECTIVE
2020,CSE330,MAJOR_ELECTIVE
2020,CSE334,MAJOR_ELECTIVE
2020,CSE436,MAJOR_ELECTIVE
2020,CSE437,MAJOR_ELECTIVE
2020,CSE438,MAJOR_ELECTIVE
2020,SWCON302,MAJOR_ELECTIVE
2020,CSE496,MAJOR_ELECTIVE
2020,CSE497,MAJOR_ELECTIVE
2020,CSE495,MAJOR_ELECTIVE
2020,CSE499,MAJOR_ELECTIVE
2020,CSE338,MAJOR_ELECTIVE
2020,CSE331,MAJOR_ELECTIVE
2020,CSE434,MAJOR_ELECTIVE
2020,CSE335,MAJOR_ELECTIVE
2020,SWCON221,MAJOR_ELECTIVE
2020,CSE423,MAJOR_ELECTIVE
2020,CSE435,MAJOR_ELECTIVE
2020,CSE433,MAJOR_ELECTIVE
2020,CSE332,MAJOR_ELECTIVE
2020,CSE439,MAJOR_ELECTIVE
2020,CSE440,MAJOR_ELECTIVE
2020,CSE427,MAJOR_ELECTIVE
2020,CSE426,MAJOR_ELECTIVE
2020,CSE428,MAJOR_ELECTIVE
2020,CSE430,MAJOR_ELECTIVE
2020,CSE431,MAJOR_ELECTIVE
2020,CSE224,MAJOR_ELECTIVE
2020,CSE441,MAJOR_ELECTIVE
2020,CSE442,MAJOR_ELECTIVE
2020,CSE443,MAJOR_ELECTIVE
2020,CSE444,MAJOR_ELECTIVE
2021,APHY1002,물리학 및 실험 1
2021,AMTH1009,미분적분학
2021,AMTH1004,선형대수
2021,EE211,확률 및 랜덤변수
2021,AMTH1001,미분방정식
2021,CSE201,이산구조
2021,SWCON103,디자인적사고
2021,SWCON104,웹/파이선프로그래밍
2021,CSE103,객체지향프로그래밍
2021,EE209,논리회로
2021,CSE203,컴퓨터구조
2021,CSE204,자료구조
